frame,flex,add,introt,ant,prox,lat
1,66.989,6.668,8.988,4.287,0.590,-0.187
2,66.967,6.702,9.061,4.316,0.601,-0.197
3,66.943,6.735,9.134,4.344,0.612,-0.207
4,66.917,6.768,9.205,4.373,0.623,-0.217
5,66.888,6.801,9.277,4.401,0.634,-0.227
6,66.858,6.833,9.348,4.430,0.644,-0.238
7,66.825,6.865,9.418,4.457,0.654,-0.249
8,66.789,6.897,9.488,4.485,0.664,-0.261
9,66.752,6.928,9.557,4.512,0.674,-0.272
10,66.712,6.959,9.626,4.539,0.684,-0.285
11,66.670,6.990,9.695,4.565,0.693,-0.297
12,66.626,7.020,9.762,4.592,0.703,-0.310
13,66.580,7.050,9.830,4.617,0.712,-0.323
14,66.531,7.079,9.896,4.642,0.721,-0.336
15,66.480,7.108,9.962,4.667,0.730,-0.350
16,66.427,7.136,10.028,4.691,0.738,-0.364
17,66.372,7.164,10.093,4.715,0.747,-0.378
18,66.315,7.191,10.157,4.738,0.755,-0.393
19,66.255,7.218,10.221,4.761,0.763,-0.408
20,66.194,7.244,10.285,4.783,0.771,-0.424
21,66.130,7.269,10.347,4.804,0.778,-0.440
22,66.064,7.294,10.409,4.825,0.786,-0.456
23,65.996,7.319,10.471,4.845,0.793,-0.472
24,65.926,7.343,10.532,4.865,0.800,-0.489
25,65.853,7.366,10.592,4.884,0.807,-0.506
26,65.779,7.388,10.652,4.902,0.814,-0.524
27,65.703,7.410,10.711,4.919,0.821,-0.542
28,65.624,7.431,10.769,4.936,0.827,-0.560
29,65.543,7.452,10.827,4.952,0.833,-0.579
30,65.461,7.472,10.884,4.967,0.839,-0.598
31,65.376,7.491,10.940,4.981,0.845,-0.617
32,65.289,7.509,10.996,4.995,0.851,-0.637
33,65.201,7.527,11.051,5.008,0.856,-0.657
34,65.110,7.544,11.105,5.020,0.862,-0.677
35,65.017,7.560,11.159,5.031,0.867,-0.698
36,64.922,7.576,11.212,5.041,0.872,-0.719
37,64.826,7.590,11.265,5.050,0.877,-0.741
38,64.727,7.604,11.316,5.058,0.881,-0.763
39,64.626,7.617,11.367,5.066,0.886,-0.785
40,64.524,7.629,11.418,5.072,0.890,-0.807
41,64.420,7.641,11.467,5.078,0.894,-0.830
42,64.313,7.651,11.516,5.083,0.898,-0.853
43,64.205,7.661,11.564,5.086,0.902,-0.877
44,64.095,7.670,11.612,5.089,0.905,-0.901
45,63.983,7.678,11.658,5.091,0.909,-0.925
46,63.869,7.685,11.704,5.092,0.912,-0.950
47,63.754,7.691,11.750,5.091,0.915,-0.975
48,63.636,7.696,11.794,5.090,0.918,-1.000
49,63.517,7.700,11.838,5.088,0.920,-1.025
50,63.396,7.704,11.881,5.084,0.923,-1.051
51,63.273,7.706,11.923,5.080,0.925,-1.077
52,63.149,7.708,11.965,5.075,0.927,-1.104
53,63.023,7.708,12.005,5.068,0.929,-1.131
54,62.895,7.708,12.045,5.060,0.931,-1.158
55,62.765,7.706,12.085,5.052,0.933,-1.185
56,62.634,7.704,12.123,5.042,0.934,-1.213
57,62.501,7.701,12.161,5.031,0.935,-1.241
58,62.366,7.696,12.198,5.020,0.936,-1.270
59,62.230,7.691,12.234,5.007,0.937,-1.298
60,62.092,7.685,12.269,4.993,0.938,-1.327
