time,flex,add,introt,ant,prox,lat
0.000,64.964,4.980,11.335,3.202,0.852,-1.563
0.010,64.842,4.996,11.386,3.219,0.862,-1.572
0.020,64.718,5.012,11.436,3.237,0.872,-1.580
0.030,64.591,5.028,11.485,3.255,0.881,-1.589
0.040,64.463,5.044,11.534,3.272,0.890,-1.599
0.050,64.333,5.059,11.582,3.289,0.899,-1.608
0.060,64.202,5.074,11.629,3.306,0.908,-1.618
0.070,64.068,5.088,11.675,3.322,0.916,-1.628
0.080,63.932,5.103,11.721,3.338,0.925,-1.639
0.090,63.795,5.117,11.766,3.354,0.933,-1.649
0.100,63.656,5.130,11.810,3.370,0.941,-1.661
0.110,63.515,5.144,11.854,3.385,0.949,-1.672
0.120,63.372,5.156,11.896,3.400,0.956,-1.684
0.130,63.228,5.169,11.938,3.415,0.964,-1.696
0.140,63.081,5.181,11.980,3.429,0.971,-1.708
0.150,62.934,5.193,12.020,3.442,0.978,-1.721
0.160,62.784,5.204,12.060,3.455,0.985,-1.734
0.170,62.633,5.215,12.099,3.468,0.992,-1.747
0.180,62.479,5.226,12.137,3.480,0.998,-1.761
0.190,62.325,5.236,12.174,3.492,1.004,-1.774
0.200,62.168,5.245,12.211,3.503,1.011,-1.789
0.210,62.010,5.254,12.247,3.513,1.016,-1.803
0.220,61.851,5.262,12.282,3.523,1.022,-1.818
0.230,61.690,5.270,12.316,3.533,1.028,-1.833
0.240,61.527,5.278,12.349,3.541,1.033,-1.848
0.250,61.363,5.285,12.382,3.549,1.038,-1.864
0.260,61.197,5.291,12.414,3.557,1.043,-1.880
0.270,61.030,5.297,12.445,3.563,1.048,-1.897
0.280,60.861,5.302,12.475,3.569,1.052,-1.913
0.290,60.690,5.306,12.504,3.575,1.057,-1.930
0.300,60.519,5.310,12.533,3.579,1.061,-1.947
0.310,60.346,5.313,12.560,3.583,1.065,-1.965
0.320,60.171,5.316,12.587,3.586,1.069,-1.983
0.330,59.995,5.318,12.613,3.588,1.072,-2.001
0.340,59.817,5.319,12.638,3.590,1.076,-2.019
0.350,59.639,5.320,12.663,3.590,1.079,-2.038
0.360,59.459,5.319,12.686,3.590,1.082,-2.057
0.370,59.277,5.319,12.709,3.589,1.085,-2.076
0.380,59.094,5.317,12.731,3.587,1.088,-2.096
0.390,58.910,5.315,12.752,3.585,1.090,-2.116
0.400,58.725,5.312,12.772,3.581,1.092,-2.136
0.410,58.539,5.308,12.792,3.576,1.095,-2.156
0.420,58.351,5.303,12.810,3.571,1.097,-2.177
0.430,58.162,5.298,12.828,3.565,1.098,-2.198
0.440,57.972,5.292,12.845,3.557,1.100,-2.219
0.450,57.781,5.285,12.861,3.549,1.101,-2.240
0.460,57.588,5.277,12.876,3.540,1.102,-2.262
0.470,57.395,5.269,12.890,3.530,1.103,-2.284
0.480,57.200,5.260,12.903,3.519,1.104,-2.306
0.490,57.004,5.249,12.916,3.507,1.105,-2.328
0.501,56.807,5.238,12.927,3.494,1.105,-2.351
0.511,56.610,5.227,12.938,3.480,1.106,-2.374
0.521,56.411,5.214,12.948,3.465,1.106,-2.397
0.531,56.211,5.200,12.957,3.449,1.106,-2.420
0.541,56.010,5.186,12.965,3.432,1.105,-2.444
0.551,55.808,5.171,12.973,3.414,1.105,-2.468
0.561,55.606,5.154,12.979,3.395,1.104,-2.492
0.571,55.402,5.137,12.985,3.375,1.104,-2.516
0.581,55.198,5.119,12.989,3.353,1.103,-2.540
0.591,54.992,5.100,12.993,3.331,1.102,-2.565
0.601,54.786,5.081,12.996,3.308,1.100,-2.589
0.611,54.579,5.060,12.998,3.284,1.099,-2.614
0.621,54.371,5.038,13.000,3.259,1.097,-2.639
0.631,54.163,5.016,13.000,3.233,1.095,-2.665
0.641,53.954,4.992,13.000,3.206,1.093,-2.690
0.651,53.743,4.968,12.998,3.178,1.091,-2.716
0.661,53.533,4.942,12.996,3.148,1.089,-2.741
0.671,53.321,4.916,12.993,3.118,1.087,-2.767
0.681,53.109,4.889,12.989,3.087,1.084,-2.793
0.691,52.896,4.860,12.984,3.055,1.081,-2.819
0.701,52.683,4.831,12.978,3.022,1.078,-2.846
0.711,52.469,4.801,12.972,2.987,1.075,-2.872
0.721,52.254,4.770,12.964,2.952,1.072,-2.899
0.731,52.039,4.738,12.956,2.916,1.068,-2.925
0.741,51.823,4.705,12.947,2.879,1.065,-2.952
0.751,51.607,4.671,12.937,2.841,1.061,-2.979
0.761,51.390,4.636,12.926,2.802,1.057,-3.005
0.771,51.173,4.600,12.914,2.762,1.053,-3.032
0.781,50.956,4.563,12.901,2.721,1.049,-3.059
0.791,50.738,4.525,12.888,2.679,1.044,-3.086
0.801,50.519,4.486,12.874,2.636,1.040,-3.113
0.811,50.300,4.447,12.858,2.592,1.035,-3.141
0.821,50.081,4.406,12.842,2.548,1.030,-3.168
0.831,49.861,4.364,12.825,2.502,1.025,-3.195
0.841,49.641,4.321,12.808,2.456,1.020,-3.222
0.851,49.421,4.278,12.789,2.409,1.015,-3.249
0.861,49.201,4.233,12.769,2.360,1.009,-3.277
0.871,48.980,4.188,12.749,2.312,1.004,-3.304
0.881,48.759,4.141,12.728,2.262,0.998,-3.331
0.891,48.538,4.094,12.706,2.211,0.992,-3.358
0.901,48.317,4.045,12.683,2.160,0.986,-3.385
0.911,48.095,3.996,12.659,2.108,0.980,-3.413
0.921,47.873,3.945,12.635,2.055,0.974,-3.440
0.931,47.652,3.894,12.610,2.001,0.967,-3.467
0.941,47.430,3.842,12.583,1.947,0.961,-3.494
0.951,47.208,3.789,12.556,1.892,0.954,-3.521
0.961,46.986,3.735,12.529,1.836,0.947,-3.548
0.971,46.763,3.680,12.500,1.780,0.940,-3.574
0.981,46.541,3.624,12.471,1.723,0.933,-3.601
0.991,46.319,3.567,12.440,1.666,0.926,-3.628
1.001,46.097,3.510,12.409,1.607,0.919,-3.654
1.011,45.875,3.451,12.377,1.548,0.911,-3.681
1.021,45.653,3.392,12.345,1.489,0.904,-3.707
1.031,45.431,3.331,12.311,1.429,0.896,-3.733
1.041,45.209,3.270,12.277,1.369,0.888,-3.759
1.051,44.988,3.208,12.242,1.308,0.880,-3.785
1.061,44.766,3.145,12.206,1.246,0.872,-3.811
1.071,44.545,3.082,12.169,1.185,0.864,-3.836
1.081,44.323,3.017,12.132,1.122,0.856,-3.861
1.091,44.102,2.952,12.093,1.060,0.847,-3.887
1.101,43.882,2.885,12.054,0.996,0.839,-3.912
1.111,43.661,2.818,12.015,0.933,0.830,-3.936
1.121,43.441,2.751,11.974,0.869,0.821,-3.961
1.131,43.221,2.682,11.933,0.805,0.813,-3.985
